city1,city2,distance
Bartlett,Fullerton,716
Bartlett,Henderson,902
Bartlett,Austin,301
Bartlett,Centennial,430
Bartlett,Blaine,821
Bartlett,Stillwater,923
Bartlett,Sunnyvale,976
Bartlett,Maplewood,966
Bartlett,Round Rock,951
Bartlett,Somerville,148
Bartlett,North Miami,613
Bartlett,West Sacramento,897
Bartlett,Spokane,373
Bartlett,Tampa,885
Bartlett,Billings,563
Bartlett,Victoria,942
Bartlett,Corpus Christi,445
Bartlett,Chico,250
Bartlett,Paramount,271
Bartlett,Eastvale,531
Bartlett,Bayonne,959
Bartlett,St. Cloud,736
Bartlett,Bozeman,841
Bartlett,Peoria,709
Bartlett,Palatine,690
Bartlett,Shoreline,533
Bartlett,Greeley,969
Bartlett,Middletown,528
Bartlett,Keller,404
Bartlett,Burbank,902
Bartlett,Chino,598
Bartlett,Fresno,993
Bartlett,Miramar,216
Bartlett,Toledo,794
Bartlett,Murfreesboro,653
Bartlett,Kokomo,402
Bartlett,Mount Prospect,552
Bartlett,Seattle,362
Bartlett,Jefferson City,156
Bartlett,Escondido,774
Bartlett,Colorado Springs,855
Bartlett,Shelton,676
Bartlett,Altamonte Springs,526
Bartlett,Charlotte,461
Bartlett,Sterling Heights,272
Bartlett,Boise,825
Bartlett,Southfield,880
Bartlett,Anaheim,291
Bartlett,Garland,290
Bartlett,Valdosta,846
Bartlett,Lakewood,464
Bartlett,Fort Worth,599
Bartlett,Santa Ana,622
Bartlett,St. George,553
Bartlett,Los Angeles,828
Bartlett,El Monte,563
Bartlett,Las Vegas,918
Bartlett,Apple Valley,827
Bartlett,Mission Viejo,440
Bartlett,Phoenix,591
Bartlett,Florence,231
Bartlett,South Bend,371
Bartlett,Hialeah,668
Bartlett,St. Paul,781
Bartlett,Plymouth,735
Bartlett,Chesapeake,208
Bartlett,Elk Grove,614
Bartlett,Columbia,583
Bartlett,Boulder,920
Bartlett,San Bernardino,311
Bartlett,San Angelo,562
Bartlett,San Ramon,576
Bartlett,Louisville,386
Bartlett,Atlanta,331
Bartlett,Euless,304
Bartlett,Bentonville,899
Bartlett,Clearwater,369
Bartlett,Baldwin Park,236
Bartlett,Methuen,259
Bartlett,North Lauderdale,232
Bartlett,Dubuque,260
Bartlett,Long Beach,328
Bartlett,Pico Rivera,251
Bartlett,Rowlett,896
Bartlett,Portage,349
Bartlett,Goodyear,198
Bartlett,Tulsa,151
Auburn,Lawrence,487
Auburn,Clearwater,328
Auburn,El Monte,829
Auburn,Dayton,187
Auburn,New Brunswick,723
Auburn,Chino,160
Auburn,Hayward,934
Auburn,Simi Valley,977
Auburn,Irving,696
Auburn,Keller,939
Auburn,Lehi,686
Auburn,Mount Prospect,730
Auburn,West Jordan,277
Auburn,Plymouth,830
Auburn,Carlsbad,745
Auburn,Goose Creek,372
Auburn,Blaine,757
Auburn,Lauderhill,191
Auburn,Fort Worth,228
Auburn,Rancho Palos Verdes,378
Auburn,Bloomington,761
Auburn,Milford,927
Auburn,Rosemead,386
Auburn,Centennial,406
Auburn,Pomona,332
Auburn,Carrollton,330
Auburn,Palatine,198
Auburn,Tulsa,509
Auburn,Conroe,986
Auburn,San Ramon,790
Auburn,North Las Vegas,396
Auburn,Phoenix,615
Auburn,Florence,683
Auburn,Portage,162
Auburn,Reno,789
Auburn,Garland,563
Auburn,Jefferson City,144
Auburn,Bayonne,554
Auburn,Lacey,115
Auburn,Hialeah,467
Auburn,Fort Lee,237
Auburn,Monterey Park,386
Auburn,St. Louis,300
Auburn,West Sacramento,984
Auburn,Boise,165
Auburn,Laredo,264
Auburn,Rockville,130
Auburn,Eastvale,742
Auburn,Escondido,978
Auburn,Rogers,500
Auburn,Amarillo,746
Auburn,Austin,157
Auburn,Gardena,890
Auburn,Scottsdale,840
Auburn,Meridian,899
Auburn,Columbia,521
Auburn,North Richland Hills,505
Auburn,Pico Rivera,545
Auburn,Palm Beach Gardens,665
Auburn,Colorado Springs,281
Auburn,San Bernardino,443
Auburn,Miramar,344
Auburn,New Orleans,471
Auburn,Bakersfield,793
Auburn,Gainesville,878
Auburn,Ankeny,934
Auburn,Hampton,784
Auburn,Palmdale,334
Auburn,Little Elm,981
Auburn,Kirkland,522
Auburn,Henderson,556
Auburn,Baton Rouge,273
Auburn,Gilbert,615
Auburn,Springfield,596
Auburn,Chesapeake,116
Auburn,Greeley,280
Auburn,Roseville,799
Auburn,Memphis,480
Auburn,Goodyear,482
Auburn,Arlington,644
Auburn,Burbank,879
Auburn,Chico,165
Auburn,North Lauderdale,446
Auburn,Elk Grove,648
Auburn,West Valley City,528
Auburn,San Leandro,569
Auburn,Bozeman,775
Auburn,San Francisco,581
Auburn,Surprise,718
Auburn,San Clemente,859
Auburn,Hagerstown,969
Auburn,Paramount,673
Auburn,Seattle,907
Auburn,Sterling Heights,679
Auburn,Burien,279
Auburn,Kokomo,255
Auburn,Fremont,198
Gardena,Hagerstown,756
